asm: 0; hack: 0000000000000000; instruction_number: 1120
asm: 54; hack: 0000000000110110; instruction_number: 1124
asm: 2; hack: 0000000000000010; instruction_number: 1126
asm: 0; hack: 0000000000000000; instruction_number: 1129
asm: 0; hack: 0000000000000000; instruction_number: 1133
asm: 3; hack: 0000000000000011; instruction_number: 1136
asm: 3; hack: 0000000000000011; instruction_number: 1138
asm: 0; hack: 0000000000000000; instruction_number: 1140
asm: 1; hack: 0000000000000001; instruction_number: 1144
asm: 13; hack: 0000000000001101; instruction_number: 1146
asm: 452; hack: 0000000111000100; instruction_number: 1148
asm: 14; hack: 0000000000001110; instruction_number: 1150
asm: 35; hack: 0000000000100011; instruction_number: 1152
asm: 95; hack: 0000000001011111; instruction_number: 1154
asm: 0; hack: 0000000000000000; instruction_number: 1156
asm: 5; hack: 0000000000000101; instruction_number: 1159
asm: 3; hack: 0000000000000011; instruction_number: 1161
asm: 4; hack: 0000000000000100; instruction_number: 1163
asm: 0; hack: 0000000000000000; instruction_number: 1166
asm: 0; hack: 0000000000000000; instruction_number: 1170
asm: 26044; hack: 0110010110111100; instruction_number: 1174
asm: 38; hack: 0000000000100110; instruction_number: 1176
asm: 0; hack: 0000000000000000; instruction_number: 1178
asm: 36; hack: 0000000000100100; instruction_number: 1181
asm: 37; hack: 0000000000100101; instruction_number: 1183
asm: 3; hack: 0000000000000011; instruction_number: 1185
asm: 4; hack: 0000000000000100; instruction_number: 1187
asm: 0; hack: 0000000000000000; instruction_number: 1190
asm: 3; hack: 0000000000000011; instruction_number: 1194
asm: 5; hack: 0000000000000101; instruction_number: 1196
asm: 0; hack: 0000000000000000; instruction_number: 1199
asm: 0; hack: 0000000000000000; instruction_number: 1203
asm: 0; hack: 0000000000000000; instruction_number: 1208
asm: 3; hack: 0000000000000011; instruction_number: 1211
asm: 38; hack: 0000000000100110; instruction_number: 1217
asm: 3; hack: 0000000000000011; instruction_number: 1219
asm: 4; hack: 0000000000000100; instruction_number: 1221
asm: 0; hack: 0000000000000000; instruction_number: 1224
asm: 3; hack: 0000000000000011; instruction_number: 1228
asm: 6; hack: 0000000000000110; instruction_number: 1230
asm: 0; hack: 0000000000000000; instruction_number: 1233
asm: 0; hack: 0000000000000000; instruction_number: 1237
asm: 0; hack: 0000000000000000; instruction_number: 1242
asm: 3; hack: 0000000000000011; instruction_number: 1245
asm: 3; hack: 0000000000000011; instruction_number: 1251
asm: 9; hack: 0000000000001001; instruction_number: 1253
asm: 0; hack: 0000000000000000; instruction_number: 1256
asm: 0; hack: 0000000000000000; instruction_number: 1260
asm: 39; hack: 0000000000100111; instruction_number: 1263
asm: 40; hack: 0000000000101000; instruction_number: 1265
asm: 3; hack: 0000000000000011; instruction_number: 1267
asm: 7; hack: 0000000000000111; instruction_number: 1269
asm: 0; hack: 0000000000000000; instruction_number: 1272
asm: 0; hack: 0000000000000000; instruction_number: 1276
asm: 41; hack: 0000000000101001; instruction_number: 1279
asm: 42; hack: 0000000000101010; instruction_number: 1281
asm: 3; hack: 0000000000000011; instruction_number: 1283
asm: 0; hack: 0000000000000000; instruction_number: 1286
asm: 4; hack: 0000000000000100; instruction_number: 1290
asm: 0; hack: 0000000000000000; instruction_number: 1292
asm: 0; hack: 0000000000000000; instruction_number: 1296
asm: 0; hack: 0000000000000000; instruction_number: 1301
asm: 3; hack: 0000000000000011; instruction_number: 1304
asm: 43; hack: 0000000000101011; instruction_number: 1307
asm: 3; hack: 0000000000000011; instruction_number: 1309
asm: 0; hack: 0000000000000000; instruction_number: 1312
asm: 4; hack: 0000000000000100; instruction_number: 1316
asm: 0; hack: 0000000000000000; instruction_number: 1318
asm: 0; hack: 0000000000000000; instruction_number: 1322
asm: 0; hack: 0000000000000000; instruction_number: 1327
asm: 3; hack: 0000000000000011; instruction_number: 1330
asm: 44; hack: 0000000000101100; instruction_number: 1333
asm: 3; hack: 0000000000000011; instruction_number: 1335
asm: 7; hack: 0000000000000111; instruction_number: 1337
asm: 0; hack: 0000000000000000; instruction_number: 1340
asm: 0; hack: 0000000000000000; instruction_number: 1344
asm: 45; hack: 0000000000101101; instruction_number: 1347
asm: 46; hack: 0000000000101110; instruction_number: 1349
asm: 3; hack: 0000000000000011; instruction_number: 1351
asm: 0; hack: 0000000000000000; instruction_number: 1354
asm: 4; hack: 0000000000000100; instruction_number: 1358
asm: 0; hack: 0000000000000000; instruction_number: 1360
asm: 0; hack: 0000000000000000; instruction_number: 1364
asm: 0; hack: 0000000000000000; instruction_number: 1369
asm: 3; hack: 0000000000000011; instruction_number: 1372
asm: 47; hack: 0000000000101111; instruction_number: 1375
asm: 3; hack: 0000000000000011; instruction_number: 1377
asm: 0; hack: 0000000000000000; instruction_number: 1380
asm: 4; hack: 0000000000000100; instruction_number: 1384
asm: 0; hack: 0000000000000000; instruction_number: 1386
asm: 0; hack: 0000000000000000; instruction_number: 1390
asm: 0; hack: 0000000000000000; instruction_number: 1395
asm: 3; hack: 0000000000000011; instruction_number: 1398
asm: 3; hack: 0000000000000011; instruction_number: 1401
asm: 8; hack: 0000000000001000; instruction_number: 1403
asm: 0; hack: 0000000000000000; instruction_number: 1406
asm: 0; hack: 0000000000000000; instruction_number: 1410
asm: 48; hack: 0000000000110000; instruction_number: 1413
asm: 49; hack: 0000000000110001; instruction_number: 1415
asm: 3; hack: 0000000000000011; instruction_number: 1417
asm: 7; hack: 0000000000000111; instruction_number: 1419
asm: 0; hack: 0000000000000000; instruction_number: 1422
asm: 0; hack: 0000000000000000; instruction_number: 1426
asm: 50; hack: 0000000000110010; instruction_number: 1429
asm: 51; hack: 0000000000110011; instruction_number: 1431
asm: 3; hack: 0000000000000011; instruction_number: 1433
asm: 0; hack: 0000000000000000; instruction_number: 1436
asm: 4; hack: 0000000000000100; instruction_number: 1440
asm: 0; hack: 0000000000000000; instruction_number: 1442
asm: 0; hack: 0000000000000000; instruction_number: 1446
asm: 0; hack: 0000000000000000; instruction_number: 1451
asm: 3; hack: 0000000000000011; instruction_number: 1454
asm: 52; hack: 0000000000110100; instruction_number: 1457
asm: 3; hack: 0000000000000011; instruction_number: 1459
asm: 0; hack: 0000000000000000; instruction_number: 1462
asm: 4; hack: 0000000000000100; instruction_number: 1466
asm: 0; hack: 0000000000000000; instruction_number: 1468
asm: 0; hack: 0000000000000000; instruction_number: 1472
asm: 0; hack: 0000000000000000; instruction_number: 1477
asm: 3; hack: 0000000000000011; instruction_number: 1480
asm: 53; hack: 0000000000110101; instruction_number: 1483
asm: 3; hack: 0000000000000011; instruction_number: 1485
asm: 7; hack: 0000000000000111; instruction_number: 1487
asm: 0; hack: 0000000000000000; instruction_number: 1490
asm: 0; hack: 0000000000000000; instruction_number: 1494
asm: 54; hack: 0000000000110110; instruction_number: 1497
asm: 55; hack: 0000000000110111; instruction_number: 1499
asm: 3; hack: 0000000000000011; instruction_number: 1501
asm: 0; hack: 0000000000000000; instruction_number: 1504
asm: 4; hack: 0000000000000100; instruction_number: 1508
asm: 0; hack: 0000000000000000; instruction_number: 1510
